Nome,Alcance,Base Elemental,Comportamento único,Custo base,Dano base,Duração,Efeito secundário,Elementos,Escalonamento,Limite de uso,Observações,Requisitos,Tier,Tipo
Fogo,12 m,Fogo,Projétil ou jato de chama com trajetória direta e alto potencial ofensivo.,6 Mana,1d8,Instantânea,Aplica Queimando leve: 1d4 por 1 turno se o alvo falhar em resistência física.,Sem título (https://www.notion.so/edcdb7ab7340467f945079fdf302a3ae?pvs=21),"Nos níveis 10, 20, 30, 40 e 50, recebe +1d8 de dano ou amplia a queimadura em +1 turno; AM alto pode converter em cone, explosão ou zona flamejante.",Sem limite fixo; restrito por Mana.,Magia básica de fogo para dano contínuo e pressão ofensiva.,Elemento básico do repertório arcano,Básico,Elemental
Água,10 m,Água,"Fluxo adaptável que pode golpear, empurrar ou envolver o alvo.",5 Mana,1d6,Instantânea ou 2 turnos em forma sustentada,Empurra 1 m ou concede -1 em testes de mobilidade até o próximo turno.,Sem título (https://www.notion.so/3a3ab9cea0e94e8085fd1a2c1985a0bc?pvs=21),"Nos níveis 10, 20, 30, 40 e 50, recebe +1d6 de dano ou amplia controle de empurrão, redução de mobilidade e cobertura líquida.",Sem limite fixo; restrito por Mana.,Escala tanto em dano quanto em controle e adaptação defensiva.,Elemento básico do repertório arcano,Básico,Elemental
Ar,15 m,Ar,Corrente cortante ou rajada de deslocamento rápido.,5 Mana,1d6,Instantânea,Empurra 2 m ou dá -1 em ataques à distância até o próximo turno.,Sem título (https://www.notion.so/5be4c6f7ab47445ea210b482311aa6fe?pvs=21),"Nos níveis 10, 20, 30, 40 e 50, recebe +1d6 de dano ou amplia deslocamento, empurrão e alcance efetivo.",Sem limite fixo; restrito por Mana.,"Escala melhor em mobilidade, reposicionamento e pressão aérea.",Elemento básico do repertório arcano,Básico,Elemental
Eletricidade,14 m,Eletricidade,Descarga veloz com alta precisão e resposta rápida.,8 Mana,1d8,Instantânea,O alvo perde reação até o próximo turno se falhar em resistência.,Sem título (https://www.notion.so/6fe60578b1684bbc929eaff1b22858bc?pvs=21),"Nos níveis 10, 20, 30, 40 e 50, recebe +1d8 de dano ou aumenta a chance e duração de paralisia em marcos altos.",Sem limite fixo; restrito por Mana.,"Elemento básico de burst, interrupção e castigo contra alvos frágeis.",Elemento básico do repertório arcano,Básico,Elemental
Gelo,12 m,Gelo,"Forma lanças, placas e fragmentos congelantes de controle moderado.",7 Mana,1d8,1 turno,Aplica Lentidão: -2 m de deslocamento por 1 turno.,Sem título (https://www.notion.so/d713be93901240878f03f7323054b502?pvs=21),"Nos níveis 10, 20, 30, 40 e 50, recebe +1d8 de dano ou amplia lentidão, congelamento parcial e área escorregadia.",Sem limite fixo; restrito por Mana.,Escala em controle de movimento e defesa territorial.,Elemento básico do repertório arcano,Básico,Elemental
Luz,18 m,Luz,"Emite clarões, feixes ou halos que unem utilidade e punição visual.",6 Mana,1d6,1 turno base; variável por AM,Cega momentaneamente um alvo até o início do próximo turno se falhar em resistência.,Sem título (https://www.notion.so/6171e7eeaef2471fb53cfc0188924424?pvs=21),"Nos níveis 10, 20, 30, 40 e 50, amplia cegueira, dano radiante e área iluminada; em AM 5, mantém o padrão de explosão luminosa massiva.",Sem limite fixo; restrito por Mana.,Continua sendo a principal referência de AM progressiva do sistema.,Elemento básico do repertório arcano,Básico,Elemental
Sombra,12 m,Sombra,Condensa obscuridade hostil para corroer percepção e confiança do alvo.,8 Mana,1d10,2 turnos,Aplica -1 em testes mentais ou de percepção por 1 turno.,Sem título (https://www.notion.so/892b3ad824474cf08bf426703f5ec75e?pvs=21),"Nos níveis 10, 20, 30, 40 e 50, recebe +1d10 de dano ou amplia ocultação, drenagem leve e penalidades sensoriais.",Sem limite fixo; restrito por Mana.,"Escala bem em assassinato, controle visual e pressão psicológica.",Elemento básico do repertório arcano,Básico,Elemental
Lava,10 m,Fogo + Terra,Cria massa ígnea viscosa que causa dano imediato e nega terreno.,14 Mana,2d8,2 turnos,Zona incandescente causa 1d6 por turno a quem permanecer nela.,"Sem título (https://www.notion.so/edcdb7ab7340467f945079fdf302a3ae?pvs=21), Sem título (https://www.notion.so/4a82abb5b61d4811be05c9311f8a1282?pvs=21), Sem título (https://www.notion.so/64e77a8470574b2f92db9a35dd37729d?pvs=21)","Nos níveis 10, 20, 30, 40 e 50, recebe +1d8 de dano por marco ou amplia zona derretida, dano contínuo e lentidão.",3 usos por combate recomendados antes de risco elevado de sobrecarga.,Magia intermediária de dano persistente e negação de área.,Domínio de Fogo e Terra,Intermediário,Elemental
Vapor,12 m,Fogo + Água,"Explosão térmica que combina calor, névoa e pressão difusa.",12 Mana,2d6,3 turnos,Cria obscurecimento leve em área e aplica 1d4 de queimadura por 1 turno.,"Sem título (https://www.notion.so/edcdb7ab7340467f945079fdf302a3ae?pvs=21), Sem título (https://www.notion.so/3a3ab9cea0e94e8085fd1a2c1985a0bc?pvs=21), Sem título (https://www.notion.so/2ae5f2a085cb44ba96541f0f426880cf?pvs=21)","Nos níveis 10, 20, 30, 40 e 50, recebe +1d6 de dano por marco ou amplia névoa quente, ocultação e queimadura úmida.",Sem limite fixo; restrito por Mana.,"Intermediária híbrida entre mobilidade, cobertura e dano leve.",Domínio de Fogo e Água,Intermediário,Elemental
Luz Sagrada,16 m,Luz + Energia Espiritual,Concentra radiação sacralizada contra alvos corrompidos ou sombrios.,18 Mana,2d12,2 turnos,Purifica condição espiritual leve ou causa dano extra a mortos-vivos e possuídos.,"Sem título (https://www.notion.so/6171e7eeaef2471fb53cfc0188924424?pvs=21), Sem título (https://www.notion.so/dc8fa464a46d487183242333a47fcd00?pvs=21)","Nos níveis 10, 20, 30, 40 e 50, recebe +1d12 de dano por marco ou amplia cura residual, purificação e zona sagrada.",4 usos por combate recomendados antes de queda de estabilidade mental.,Magia intermediária de alto valor contra corrupção e trevas.,Domínio de Luz e afinidade espiritual,Intermediário,Elemental
Metal,10 m,Terra + Eletricidade,Condensa liga magnética ou lâmina condutora extremamente densa.,15 Mana,2d8,3 turnos,Aplica Guarda Quebrada ou prende armas metálicas leves por 1 turno.,"Sem título (https://www.notion.so/4a82abb5b61d4811be05c9311f8a1282?pvs=21), Sem título (https://www.notion.so/6fe60578b1684bbc929eaff1b22858bc?pvs=21), Sem título (https://www.notion.so/683d01ee007e4a64be9090f07b84608e?pvs=21)","Nos níveis 10, 20, 30, 40 e 50, recebe +1d8 de dano por marco ou amplia perfuração, armadura viva e controle magnético.",Sem limite fixo; restrito por Mana.,Boa para builds táticas e interação com equipamentos.,Domínio de Terra e Eletricidade,Intermediário,Elemental
