Nome,Ativação,Bônus,Custo de Postura,Escalonamento,Estilo,Penalidade
Postura Ofensiva,,+20% do atributo ofensivo principal no dano final e +10% na margem de pressão ofensiva,,"Nos níveis 10, 20, 30, 40 e 50, o bônus cresce em +5% e a penalidade em Defesa reduz 1% a cada 10 níveis se o usuário mantiver postura agressiva com sucesso.","Alta pressão, alto risco e foco em finalizar rapidamente.",-15% da Defesa final
Postura Defensiva,,+20% do atributo defensivo principal aplicado à Defesa final e resistências de guarda,,"Nos níveis 10, 20, 30, 40 e 50, o bônus defensivo cresce em +5% e a penalidade ofensiva cai gradualmente para manter relevância em nível alto.","Sobrevivência, mitigação e controle do ritmo.",-15% do dano final
Postura de Caçador,,+15% do atributo ofensivo contra alvos feridos e +20% em rastreio de combate,,"Nos níveis 15, 30 e 45, o bônus sobe +5% e passa a conceder dano adicional progressivo contra alvos abaixo de 50% da Vida.",Pressão sobre inimigos desgastados e perseguição tática.,-10% de precisão contra alvos íntegros ou inalcançados
Postura Estratégica,,"+20% do atributo mental principal em leitura de campo, precisão tática e exploração de fraquezas",,"Nos níveis 10, 20, 30, 40 e 50, o bônus tático cresce em +5% e passa a ampliar críticos, cobertura e eficiência de suporte.","Leitura de campo, preparação e coordenação.",-10% do dano explosivo imediato
Postura Impulsiva,,+15% do atributo ofensivo principal e crítico ampliado em armas compatíveis,,"Nos níveis 20, 35 e 50, o bônus ofensivo sobe +5% e a margem crítica melhora em armas de estilo agressivo, mantendo risco equivalente.","Alta variância, agressão e improviso perigoso.",Falhas naturais ampliam o dano recebido ou a perda de controle em 15%
Postura Zen,Ação Secundária; não pode ser ativada se estiver em Frenesi.,+20% regeneração de Mana/Ki e +15% resistência mental.,Ativação: 2 Mana ou 2 Ki; manutenção: 1 por turno.,"Níveis 10, 20, 30, 40 e 50: reduz custo de habilidades em +5% por marco.","Controle, paciência e equilíbrio.",-15% dano ofensivo.
Postura Guardião,Ação Secundária; termina se o usuário ficar Desarmado e cair sem se levantar.,+25% Defesa e +15% proteção para aliados próximos.,Ativação: 3 Energia Física; manutenção: 1 por turno.,"Níveis 15, 30 e 45: ganha habilidade de redirecionar dano.","Tank raiz, estilo segura o boss enquanto o time bate.",-20% mobilidade.
Postura Precisa,Ação Secundária; perde o efeito se entrar em combate caótico corpo a corpo sem foco.,+20% chance de crítico e +25% precisão.,Ativação: 2 Energia Física ou 2 Mana; manutenção: 1 por turno.,"Níveis 10, 25 e 40: críticos causam dano adicional progressivo.","Sniper, cada golpe importa.",-15% velocidade de ataque.
Postura Ágil,"Ação Secundária; termina se ficar Imobilizado, Enraizado ou Sobrecarregado.",+25% esquiva e +20% velocidade.,Ativação: 2 Energia Física ou 1 Ki; manutenção: 1 por turno.,"Níveis 10, 20, 30, 40 e 50: ganha chance de ataque extra após esquiva.","Hit and run, estilo assassino.",-15% Defesa base.
Postura Berserker,Ação Secundária para entrar; sair é livre no início do turno.,+25% dano corpo a corpo e +10% velocidade de ataque.,Ativação: 2 Energia Física ou 2 Ki; manutenção: 1 por turno.,"Níveis 10, 25, 40 e 50: dano aumenta +5% por marco e ganha roubo de vida leve.","Agressividade total, sem pensar duas vezes.",-20% Defesa e não pode recuar facilmente.
Postura Arcana,Ação Secundária; termina ao entrar em Vazio Arcano ou Sobrecarga Mágica.,+30% poder mágico.,Ativação: 3 Mana; manutenção: 2 Mana por turno.,"Níveis 15, 30 e 45: chance de ignorar resistência mágica.","Mago explosivo, alto risco.",+20% custo de Mana.
Postura Analítica,Ação Secundária; exige linha de visão ou leitura prévia do alvo.,+25% Inteligência e revela fraquezas do inimigo.,Ativação: 2 Mana ou 2 Energia Mental; manutenção: 1 por turno.,"Níveis 10, 20, 30 e 40: ganha bônus contra inimigos já analisados.","Controle de batalha, tipo jogador xadrez 5D.",-10% dano direto.
Postura Sombria,Ação Secundária; perde o efeito ao ficar Rastreado ou Exposto.,+20% dano em inimigos desprevenidos e +15% furtividade.,Ativação: 2 Energia Física ou 2 Ki; manutenção: 1 por turno.,"Níveis 15, 30 e 45: ataques surpresa causam efeitos adicionais.",Assassino stealth.,-20% eficiência em combate direto.
Postura Instável,Ação Secundária; cada turno rola novamente os eixos positivos e negativos.,+30% em todos os atributos em eixo aleatório por turno.,Ativação: 3 Mana ou 3 Ki; manutenção: 1dado ou 2 recursos por turno.,"Níveis 10, 25 e 40: reduz aleatoriedade negativa.","Caos total, build meme que pode solar ou morrer sozinho.",-20% em um atributo aleatório.
Postura Sincronizada,Ação Secundária; exige pelo menos um aliado consciente em alcance médio.,+15% em todos os atributos quando em grupo.,Ativação: 2 Energia Física ou 2 Mana; manutenção: 1 por turno por vínculo ativo.,"Níveis 10, 20, 30, 40 e 50: bônus compartilhado com aliados.",Suporte cooperativo e combate em equipe.,-20% quando sozinho.
Postura Vampírica,Ação Secundária; termina se o usuário for curado à força por purificação absoluta.,+20% roubo de vida.,Ativação: 2 Vida e 1 recurso principal; manutenção: 1 Vida por turno.,"Níveis 15, 30 e 45: roubo de vida aumenta progressivamente.",Sustentação em combate contínuo.,-15% regeneração natural.
Postura Dimensional,Ação Secundária; termina ao ficar Ancorado ou sob quebra dimensional.,+15% chance de ignorar ataques e +20% mobilidade.,Ativação: 3 Mana ou 3 Ki; manutenção: 2 por turno.,"Níveis 20, 35 e 50: ganha micro-teleportes reativos.","Quase bugado, com micro teleporte e leitura estranha do espaço.","-10% estabilidade, com chance de falha em ações."
