Nome,Alcance,Ação,Bônus,Custo,Duração,Efeito,Escala,Escalonamento de Custo,Limite de uso,Nível da Técnica,Observações,Penalidade,Requisitos,Subclasse,Subsistema,Tipo
Passo Relâmpago,,Movimento,,2 PK,,Move-se até o dobro da distância sem provocar reação.,Melhora com domínio de fluxo e mobilidade avançada.,,,,Excelente para reposicionamento e pressão tática.,,,"Monge (Criar%20Personagem/Subclasses/Monge%204c76234a1e5e44ffbee26ab9567a261b.html), Guerreiro Espiritual (Criar%20Personagem/Subclasses/Guerreiro%20Espiritual%204861740c915243a5ac801f4752cc9fe7.html)",,Mobilidade
Golpe Imbuído,,Ação Principal,,1 PK,,Adiciona o atributo espiritual relevante ao dano de um ataque físico.,Escala com o atributo central do usuário de Ki e com a técnica aplicada.,,,,Técnica base de canalização ofensiva.,,,"Monge (Criar%20Personagem/Subclasses/Monge%204c76234a1e5e44ffbee26ab9567a261b.html), Lutador Marcial (Criar%20Personagem/Subclasses/Lutador%20Marcial%20f22504cbe8e64c239989510a0be1abfe.html), Mestre das Armas (Criar%20Personagem/Subclasses/Mestre%20das%20Armas%20433c51580f2a468cb90da2fe79aca051.html), Guerreiro Espiritual (Criar%20Personagem/Subclasses/Guerreiro%20Espiritual%204861740c915243a5ac801f4752cc9fe7.html)",,Ofensiva
Defesa Interior,,Ação Secundária,,1 PK,,Reduz o dano recebido com base no atributo espiritual relevante.,Escala com Sabedoria ou estatuto equivalente definido pela build.,,,,Ferramenta padrão de mitigação de dano.,,,"Monge (Criar%20Personagem/Subclasses/Monge%204c76234a1e5e44ffbee26ab9567a261b.html), Guerreiro Espiritual (Criar%20Personagem/Subclasses/Guerreiro%20Espiritual%204861740c915243a5ac801f4752cc9fe7.html)",,Defensiva
Impacto Interno,,Ação Principal,,3 PK,,Ataque que ignora armadura física.,Ganha eficiência com especialização marcial e contra alvos em Guarda Quebrada.,,,,Uma das principais respostas contra alvos fortemente protegidos.,,,"Monge (Criar%20Personagem/Subclasses/Monge%204c76234a1e5e44ffbee26ab9567a261b.html), Lutador Marcial (Criar%20Personagem/Subclasses/Lutador%20Marcial%20f22504cbe8e64c239989510a0be1abfe.html)",,Ofensiva
Palma Vibrante,,Ação Principal,"1d12 + Mod. Sabedoria.",3 PK,,Marca o alvo e pode ser ativada depois para causar dano extra.,"Escala com controle de tempo, precisão e nível de subclasse.",,,,Técnica de pressão atrasada e execução.,,,Monge (Criar%20Personagem/Subclasses/Monge%204c76234a1e5e44ffbee26ab9567a261b.html),,Ofensiva
Salto Celestial,,Movimento,,2 PK,,"Permite salto muito acima do normal, útil para verticalidade e fuga.",Melhora com domínio corporal e fluxo avançado.,,,,Sinergiza com cenários tridimensionais.,,,"Monge (Criar%20Personagem/Subclasses/Monge%204c76234a1e5e44ffbee26ab9567a261b.html), Guerreiro Espiritual (Criar%20Personagem/Subclasses/Guerreiro%20Espiritual%204861740c915243a5ac801f4752cc9fe7.html)",,Mobilidade
Onda de Ki,,Ação Principal,"1d20 + Mod. Sabedoria.",4 PK,,Projeta um ataque à distância de energia concentrada.,Escala com intensidade de Ki e refinamento espiritual.,,,,Transfere a ameaça marcial para médio alcance.,,,Guerreiro Espiritual (Criar%20Personagem/Subclasses/Guerreiro%20Espiritual%204861740c915243a5ac801f4752cc9fe7.html),,Ofensiva
Corpo de Aço,,Ação Principal,,5 PK,,Reduz pela metade o dano físico por 2 turnos.,Duração e estabilidade podem crescer com o avanço do usuário.,,,,"Alto custo, alto impacto defensivo.",,,"Monge (Criar%20Personagem/Subclasses/Monge%204c76234a1e5e44ffbee26ab9567a261b.html), Guerreiro Espiritual (Criar%20Personagem/Subclasses/Guerreiro%20Espiritual%204861740c915243a5ac801f4752cc9fe7.html)",,Defensiva
Explosão Espiritual,,Ação Principal,"2d20 + Mod. Sabedoria.",6 PK,,Descarga em área ao redor do usuário com dano massivo.,Escala com intensidade espiritual e gestão de risco.,,,,"Após usar, consome recursos adicionais e expõe o usuário.",,,Guerreiro Espiritual (Criar%20Personagem/Subclasses/Guerreiro%20Espiritual%204861740c915243a5ac801f4752cc9fe7.html),,Ofensiva
Palma Silenciosa,,Ação Principal,"1d10 + Mod. Sabedoria.",2 PK,,"Se acertar, reduz o movimento do alvo.",Escala com precisão e domínio de pontos vitais.,,,,Ferramenta de controle refinado do Monge.,,,Monge (Criar%20Personagem/Subclasses/Monge%204c76234a1e5e44ffbee26ab9567a261b.html),,
