Nome,Como remover,Duração,Efeito,Impacto,Tipo
Cego (Visão Turva),"Purificação, cura, descanso ou fim do efeito causador.",Variável conforme efeito.,Sofre penalidade em ataques à distância e inimigos ganham vantagem tática para flanquear.,Reduz precisão e eleva vulnerabilidade posicional.,Tática
Atordoado,"Passagem de turno, efeitos de suporte ou cura apropriada.",Até o próximo turno.,Perde a Ação Principal no próximo turno e sofre -2 de Defesa.,Alto impacto tático por quebrar o ritmo de ação.,Física
Flanqueado,"Reposicionamento, quebra de linha ou afastamento dos oponentes.",Enquanto o posicionamento for mantido.,Recebe dano adicional de quem estiver flanqueando e sofre pressão posicional.,Aumenta risco de foco e colapso defensivo.,Tática
Guarda Quebrada,"Passagem de turno, postura defensiva ou habilidade restauradora.",Até o próximo turno.,Defesa reduzida em -4 até o próximo turno.,Abre janela crítica para combos e execução.,Tática
Instável,"Controle, descanso, purificação ou estabilização narrativa.",Enquanto a instabilidade permanecer ativa.,Deve realizar teste de resistência ao usar habilidades poderosas; falha pode gerar efeito colateral.,Conecta poder alto a risco real de descontrole.,Energética
Caído,Gastar recurso de levantar-se ou receber apoio.,Até levantar.,"Inimigos corpo a corpo recebem bônus para acertar; levantar exige ação secundária ou movimento, conforme regra aplicada.",Compromete defesa e mobilidade em combate corpo a corpo.,Física
Imobilizado,"Teste apropriado, ajuda externa ou quebra física/mágica.",Até ser quebrado ou encerrado pelo efeito.,"Movimento reduzido a 0, mas ainda permite certas ações ofensivas.",Anula reposicionamento e facilita controle de campo.,Física
Possuído (Parcial),"Purificação, vitória mental, ritual ou intervenção especializada.",Conforme efeito espiritual ativo.,O mestre pode influenciar decisões momentâneas e o alvo sofre penalidade em testes mentais.,Afeta agência narrativa e estabilidade psicológica.,Mental
Esgotado,"Descanso, cura ou recurso restaurador.",Até descanso suficiente.,Sofre -2 em todos os testes físicos até recuperação adequada.,Erosão constante de desempenho em combates prolongados.,Física
Silenciado,"Purificação, dissipação ou fim do efeito causador.",Enquanto a condição persistir.,Impede conjuração de magias verbais.,Neutraliza parte relevante do arsenal de conjuradores.,Espiritual
Confuso,"Suporte mental, purificação ou sucesso em resistência mental",1–3 turnos,"Pode agir de forma errada, atacar alvo indevido ou perder foco.",Desorganiza formações e planejamento.,Mental
Sangramento,"Teste de Medicina, cura, cauterização ou descanso adequado",Até ser removido ou tratado,Perde Vida ao fim do turno até receber cura ou estancar o ferimento.,"Pressão constante, enfraquece tanques e acelera derrotas prolongadas.",Física
Fome,Alimentação apropriada ou magia de sustentação,Cena prolongada ou até se alimentar,"Reduz recuperação de Vida, Energia Física e foco em testes longos.","Prejudica exploração, descansos e resistência a provas longas.",Física
Sono,"Dano, estímulo intenso, ação aliada ou efeito de vigília",1d4 turnos ou até despertar,"Reduz iniciativa, percepção e pode causar perda de turno se agravado.",Enorme risco tático em combate e vigília.,Mental
Envenenado,"Antídoto, purificação, resistência bem-sucedida ou descanso","Varia pela toxina, normalmente 2–5 turnos",Sofre dano periódico e penalidade em testes físicos.,Pressão gradual e degradação de performance.,Física
Exausto,"Descanso, poções revigorantes ou habilidades de restauração",Até descanso adequado ou cura especial,"Reduz deslocamento, dano e recuperação de recursos.",Piora todas as funções de combate prolongado.,Física
Silenciado,"Fim do efeito, purificação ou resistência energética",1–3 turnos,"Impede conjuração verbal, cantos ou técnicas baseadas em voz.","Neutraliza parte importante de magos, bardos e suporte.",Energética
Queimando,"Água, abafamento, magia de frio ou resistência",1–3 turnos,Recebe dano de fogo periódico e pode entrar em pânico leve.,Ótimo para zonear e pressionar alvos frágeis.,Física
Fome de Mana,"Poção de Mana, estabilização arcana ou descanso",2–4 turnos ou até restauração arcana,Custo de Mana aumenta e AM fica menos estável.,Pune conjuradores em sequências longas.,Energética
Congelado,"Calor, resistência física, fogo ou quebra externa",1–2 turnos,Deslocamento reduzido drasticamente; em nível alto pode impedir ação.,Controle duro contra mobilidade e defesa.,Física
Desesperado,"Suporte emocional, cura mental ou mudança drástica do campo.",2 turnos ou até recuperar vantagem emocional,"Recebe bônus em ações agressivas, mas sofre penalidade em Defesa.","Aumenta dano bruto, porém acelera colapso defensivo.",Mental
Paranoico,"Ancoragem emocional, teste mental ou dissipação do efeito.",Cena ou 3 turnos,Interpreta aliados como ameaça potencial e falha em cooperação.,Desmonta sinergia de equipe e prejudica suporte.,Mental
Dominado,"Quebra do vínculo, purificação superior ou resistência crítica.",Enquanto a dominação for sustentada,Perde autonomia e age sob controle total.,Forma mais severa de controle mental comum.,Mental
Hipnotizado,"Interrupção externa, dano, purificação ou resistência mental.",1–4 turnos,Segue comandos simples e perde iniciativa própria.,"Controle direto leve, ideal para manipular posicionamento.",Mental
Pânico,"Acalmar, proteger, teste mental bem-sucedido ou liderança aliada.",1–3 turnos,Perde controle fino e pode fugir automaticamente da maior ameaça visível.,"Quebra formação, cancela decisões táticas e expõe o alvo.",Mental
Apático,"Estímulo forte, cura mental ou choque narrativo.",2–5 turnos,"Reduz Iniciativa, Reação e urgência de decisão.",Enfraquece resposta rápida e timing de combate.,Mental
Frenesi,"Exaustão, contenção física ou estabilização mental.",2–4 turnos,"Aumenta ataque e ímpeto, mas remove controle tático fino.","Excelente para burst, ruim para alvo, proteção e disciplina.",Mental
Quebrado Mentalmente,"Ritual, terapia arcana, descanso longo ou intervenção de alto nível.",Cena inteira ou até restauração profunda,Incapaz de agir racionalmente ou manter plano coerente.,Paralisa a tomada de decisão e destrói consistência de build.,Mental
Fraturado,"Imobilização, cura óssea, medicina ou magia restauradora.",Até tratamento adequado,Reduz mobilidade ou força conforme o membro afetado.,"Prejudica deslocamento, dano e ações físicas específicas.",Física
Mutilado,"Regeneração avançada, prótese funcional ou intervenção poderosa.",Persistente até reconstrução ou cura superior,"Perde uso parcial de membro, arma ou locomoção.",Condição brutal que redefine ações disponíveis.,Física
Sangramento Interno,"Cirurgia, medicina avançada, cura interna ou repouso forçado.",Até estabilização,Sofre dano progressivo oculto e piora em esforço intenso.,Mata lentamente alvos que parecem estáveis.,Física
Asfixiado,"Restaurar respiração, liberar vias aéreas ou magia adequada.",Enquanto persistir a privação de ar,Sofre dano por falta de ar e pode perder ações.,"Pressão letal rápida, especialmente contra conjuradores.",Física
Enraizado,"Quebra física, teleporte, corte ou dissipação.",1–3 turnos,"Fica preso ao chão por natureza, magia ou fixação física.",Anula reposicionamento e fuga.,Física
Desidratado,"Água, sais, cura corporal ou descanso controlado.",Até hidratação suficiente,Perde Energia Física continuamente e sofre queda de foco.,Drena exploração longa e compromete combate estendido.,Física
Sobrecarregado,"Aliviar peso, aumentar força ou usar suporte externo.",Enquanto a carga permanecer alta,Recebe penalidade por peso excessivo em movimento e reações.,"Prejudica builds de saque, tanque e fuga.",Física
Infectado,"Antibiótico arcano, purificação, medicina ou cauterização correta.",Progressiva até tratamento,Ferida piora com o tempo e pode evoluir para doença grave.,Condição de campanha que castiga descuido pós-combate.,Física
Fome de Ki,"Recuperação de Ki, meditação ou catalisador marcial.",Até recuperar Ki e estabilizar o corpo,Técnicas físicas falham ou ficam mais fracas por fluxo instável.,"Reduz dano, controle e segurança das técnicas corporais.",Energética
Excesso de Ki,"Descarga controlada, postura Zen ou estabilização.",1–3 turnos,Recebe dano próprio ao usar habilidades por saturação de fluxo.,Força escolhas difíceis entre poder e autodestruição.,Energética
