Nome,Alcance,Amplificação Mágica Extra,Atributo Afetado,Ação Secundária Extra,Bônus,Categoria,Classes,Crítico,Custo,Dano,Defesa,Defesa Extra,Durabilidade,Efeito,Escala com,Escalonamento,Limite de uso,Observações,Penalidade,Peso,Raridade,Reação Extra,Requisitos,Subtipo,Valor do Modificador
Relicário de Voto,,,,,+1 em testes ligados a magia espiritual.,Catalisador,"Mago (Criar%20Personagem/Classes/Mago%20f761bd678e484cd0993fda875188004f.html), Híbrido (Criar%20Personagem/Classes/H%C3%ADbrido%20cd1a673735eb4b42b02898eb22d01d5f.html)",,,,,,Alta,"Facilita purificação, bênçãos e manutenção de foco devocional.",,,,Combina especialmente com Clérigo e Vingard.,,1,Raro,,Afinidade espiritual ou acesso a magia divina.,,
Espada Bastarda de Ferro Negro,Corpo a corpo,,,,+1 em dano corpo a corpo pesado.,Arma,"Ki (Criar%20Personagem/Classes/Ki%20ec27f579c6cb4ff8b30faa1a340adab0.html), Restrição Celestial (Criar%20Personagem/Classes/Restri%C3%A7%C3%A3o%20Celestial%20280949ab67c74aceba16774b4427722d.html)",20 / x2; em Postura Ofensiva soma +1d8,—,1d12 + Mod. de Força,,,Alta,"Arma versátil de pressão, ideal para builds de Força e controle frontal.",Força,"Nos níveis 10, 20, 30, 40 e 50, recebe +1d8 de impacto sombrio e melhor aplicação da condição Guarda Quebrada.",Sem limite,Espada pesada de linha de frente com progressão sólida.,Requer boa força para máxima eficiência,4,Incomum,,Nenhum,Arma Média,
Foco Arcano Prismático,,,,,"Reduz em 1 o custo de uma amplificação simples por cena, mínimo 1.",Catalisador,"Mago (Criar%20Personagem/Classes/Mago%20f761bd678e484cd0993fda875188004f.html), Híbrido (Criar%20Personagem/Classes/H%C3%ADbrido%20cd1a673735eb4b42b02898eb22d01d5f.html)",,,,,,Média,Estabiliza conjuração e melhora controle fino de Mana.,,,,"Excelente para Arcanismo, Invocação e Transmutação.",,1,Raro,,Uso de Mana.,,
Adaga de Passo Curto,Corpo a corpo,,,,+1 em ações furtivas ofensivas.,Arma,Ki (Criar%20Personagem/Classes/Ki%20ec27f579c6cb4ff8b30faa1a340adab0.html),19–20 / x2 em reposicionamento,—,1d6 + Mod. de Destreza,,,Média,"Favorece mobilidade, emboscada e ataques rápidos.",Destreza,"A cada 10 níveis, recebe +1d6 em ataques após deslocamento ou teleporte curto.",Sem limite,Arma curta feita para builds móveis e assassinas.,Dano modesto fora de mobilidade,1,Comum,,Nenhum,Arma Leve,
Armadura de Couro Flexível,,,,,+1 Defesa sem grande prejuízo de mobilidade.,Armadura,"Ki (Criar%20Personagem/Classes/Ki%20ec27f579c6cb4ff8b30faa1a340adab0.html), Híbrido (Criar%20Personagem/Classes/H%C3%ADbrido%20cd1a673735eb4b42b02898eb22d01d5f.html)",,—,,"+2 base, +1 a cada 4 níveis; contribuição máxima 12, Defesa final recomendada até 50 com evasão",,Média,Proteção leve para personagens que dependem de deslocamento e posicionamento.,Destreza,"Em níveis altos, converte parte maior da Destreza em defesa prática e mantém mobilidade máxima.",Passiva,Armadura leve básica finalmente viável até campanhas longas.,Baixa proteção contra impacto pesado,2,Comum,,Nenhum,Armadura Leve,
Peitoral de Guarda Quebrada,,,,,+2 Defesa.,Armadura,Restrição Celestial (Criar%20Personagem/Classes/Restri%C3%A7%C3%A3o%20Celestial%20280949ab67c74aceba16774b4427722d.html),,—,,"+4 base, +1 a cada 3 níveis; contribuição máxima 17, Defesa final recomendada até 50",,Alta,"Reduz dano frontal, mas exige preparo físico para manter eficiência.",Constituição ou Força,"A cada 10 níveis, reforça resistência a ruptura de guarda e reduz empurrões ou quedas.",Passiva,Peitoral intermediário para lutadores que seguram linha.,Menor eficiência contra magia fina,5,Incomum,,Nenhum,Armadura Média,
Poção de Restauro Menor,,,,,Recupera pequena quantidade de Vida.,Consumível,"Mago (Criar%20Personagem/Classes/Mago%20f761bd678e484cd0993fda875188004f.html), Ki (Criar%20Personagem/Classes/Ki%20ec27f579c6cb4ff8b30faa1a340adab0.html), Híbrido (Criar%20Personagem/Classes/H%C3%ADbrido%20cd1a673735eb4b42b02898eb22d01d5f.html), Restrição Celestial (Criar%20Personagem/Classes/Restri%C3%A7%C3%A3o%20Celestial%20280949ab67c74aceba16774b4427722d.html)",,,,,,Baixa,Ferramenta emergencial de sobrevivência entre confrontos ou em risco imediato.,,,,Item básico de campanhas longas.,,1,Comum,,Uso consumível simples.,,
Faixa de Respiração Profunda,,,,,+1 em testes de controle de Ki.,Catalisador,"Ki (Criar%20Personagem/Classes/Ki%20ec27f579c6cb4ff8b30faa1a340adab0.html), Híbrido (Criar%20Personagem/Classes/H%C3%ADbrido%20cd1a673735eb4b42b02898eb22d01d5f.html)",,,,,,Alta,Ajuda a estabilizar fluxo corporal e reduzir risco de exaustão precoce.,,,,"Útil para Monge, Lutador Marcial e Guerreiro Espiritual.",,1,Incomum,,Uso de Ki.,,
Kit de Ladrão Reforçado,,,,,+1 em testes de Ladinagem quando o contexto for apropriado.,Ferramenta,Ki (Criar%20Personagem/Classes/Ki%20ec27f579c6cb4ff8b30faa1a340adab0.html),,,,,,Média,"Facilita abertura de fechaduras, desmontagem de armadilhas e infiltração técnica.",,,,Suporte logístico valioso para campanhas urbanas e furtivas.,,2,Incomum,,Treinamento ou proficiência interpretativa.,,
Fragmento de Selo Abissal,,,,,Interage com presenças demoníacas e contenções espirituais.,Artefato,"Mago (Criar%20Personagem/Classes/Mago%20f761bd678e484cd0993fda875188004f.html), Híbrido (Criar%20Personagem/Classes/H%C3%ADbrido%20cd1a673735eb4b42b02898eb22d01d5f.html)",,,,,,Alta,Pode ampliar rituais de selamento ou desencadear ressonância perigosa com entidades seladas.,,,,Perfeito para futuras expansões sobre Príncipes Selados e demônios.,,1,Lendário,,Mestre ou narrativa apropriada; uso altamente controlado.,,
