Nome,Atributo base,Cálculo,Função,Tipo
Atletismo,Força,,"Escalar, nadar, levantar e superar obstáculos físicos.",Física
Fortitude,Constituição,,"Resistir veneno, doença, exaustão e desgaste extremo.",Física
Luta,Força,,"Combate corpo a corpo pesado, agarrões e impacto direto.",Física
Vigor,Constituição,,"Suportar dor, sangramento e impactos contínuos.",Física
Sobrevivência,Sabedoria,,"Resistência ambiental, fome, frio e desgaste de jornada.",Mental
Acrobacia,Destreza,,"Saltos, equilíbrio, reposicionamento e controle corporal fino.",Física
Furtividade,Destreza,,"Esconder-se, infiltrar-se e evitar detecção.",Física
Ladinagem,Destreza,,"Abrir trancas, lidar com armadilhas e manipular mecanismos delicados.",Técnica
Reflexos,Destreza,,"Esquiva ativa, reação rápida e resposta instantânea.",Física
Pontaria,Destreza,,Uso eficiente de ataques à distância e precisão de disparo.,Técnica
Conhecimento,Inteligência,,"Saber acadêmico, teoria e acervo geral de informação.",Intelectual
Investigação,Inteligência,,"Analisar pistas, padrões, cenas e evidências.",Intelectual
Misticismo,Inteligência,,"Compreender magia, inscrições, rituais e estruturas arcanas.",Intelectual
Percepção,Sabedoria,,"Notar detalhes, perigos, presença hostil e pistas sensoriais.",Mental
Intuição,Sabedoria,,"Julgar intenções, risco oculto e leitura emocional.",Mental
Cura,Sabedoria,,"Medicina prática, estabilização e tratamento de ferimentos.",Técnica
Vontade,Sabedoria,,"Resistência mental, espiritual e emocional contra coerção.",Mental
Diplomacia,Carisma,,"Negociação, conciliação e condução social favorável.",Social
Enganação,Carisma,,"Mentir, blefar, distrair e conduzir falsas leituras.",Social
Persuasão,Carisma,,"Convencer, liderar, negociar e mover pessoas sem coerção direta.",Social
Jogatina,Carisma,Modificador do atributo-chave + piso do Nível/2 + 5 se treinado.,"Blefar, ler apostas, manipular mesa e ganhar vantagem em jogos de risco.",Social
Iniciativa,Destreza,Modificador do atributo-chave + piso do Nível/2 + 5 se treinado.,"Determina velocidade de resposta, abertura de turno e leitura imediata de combate.",Técnica
Religião,Sabedoria,Modificador do atributo-chave + piso do Nível/2 + 5 se treinado.,"Reconhecer crenças, ritos, símbolos, entidades e práticas espirituais.",Mental
Medicina,Sabedoria,Modificador do atributo-chave + piso do Nível/2 + 5 se treinado.,"Diagnosticar ferimentos, estabilizar aliados, tratar doenças e conduzir primeiros socorros.",Técnica
Natureza,Inteligência,Modificador do atributo-chave + piso do Nível/2 + 5 se treinado.,"Identificar fauna, flora, fenômenos naturais e riscos ambientais.",Conhecimento
Navegação,Sabedoria,Modificador do atributo-chave + piso do Nível/2 + 5 se treinado.,"Orientar-se, traçar rotas, ler mapas, estrelas e condições de viagem.",Técnica
Intimidação,Carisma,Modificador do atributo-chave + piso do Nível/2 + 5 se treinado.,"Pressionar, ameaçar e impor presença sem depender de violência direta.",Social
Adestramento de animais,Carisma,Modificador do atributo-chave + piso do Nível/2 + 5 se treinado.,"Acalmar, conduzir, ensinar e interpretar animais e criaturas treináveis.",Social
Etiqueta,Carisma,Modificador do atributo-chave + piso do Nível/2 + 5 se treinado.,"Conhecer costumes, protocolos, hierarquias e comportamento adequado em sociedades.",Social
Ofício,Inteligência,Modificador do atributo-chave + piso do Nível/2 + 5 se treinado.,"Executar uma profissão ou especialidade prática escolhida pelo personagem.",Técnica
