Nome,Alcance,Categoria,Custo,Dano,Descrição,Desvantagem grave,Duração,Efeito mecânico,Escalonamento,Gatilho,Limite de uso,Observações,Origem,Recurso,Requisitos,Risco,Sistema,Vantagem
Poder Anômalo Flagelado,,Flagelado,,,"Manifestação biológica, instintiva ou anômala que foge do padrão de Mana.",,,,,Uso consciente do dom ou stress extremo.,,Pode ser refinado por autoconhecimento ou correção mágica arriscada.,Sem título (https://www.notion.so/35ff7d8f481f43a29e38c09ecd5fced8?pvs=21),Nenhum,,"Instabilidade, efeitos colaterais e tragédias involuntárias.",,
Demônio Selado,,Selado,,,Entidade demoníaca selada no corpo do personagem desde o nascimento.,,,,,"Quase morte, falha mental severa ou aproximação do tier correspondente.",,"Quando domesticado ou derrotado, pode alterar radicalmente a progressão narrativa.",Sem título (https://www.notion.so/f87a97fa684941268674ecf09e642256?pvs=21),Misto,,"Possessão parcial, colapso mental e confronto interno futuro.",,
Liberdade de Destino,,Origem,,,"Ausência de marca sobrenatural inicial, permitindo trajetória completamente aberta.",,,,,Construção e especialização ao longo da campanha.,,Origem comum reforça agência e flexibilidade narrativa.,Sem título (https://www.notion.so/0c6e437fe66b47c9ac51f0d4d68e3d96?pvs=21),Nenhum,,Sem vantagem automática de nascimento; poder depende totalmente de escolha e evolução.,,
Vingard,,Clérigo,,,Arma espiritual que assume a forma da essência do clérigo e pode armazenar magias.,,,,,Invocação da arma espiritual ou impacto imbuído com magia.,,Causa dano físico e espiritual e cresce com a progressão.,,Mana,,Enfraquece se o usuário corromper seus próprios princípios ou perder a fé.,,
Poder Absoluto,,Arcano,,,"Domínio elemental ou conceitual absoluto do mago, limitado por criatividade, custo e refinamento.",,,,,Conjuração intensificada ou manipulação livre do elemento.,,A subclasse define o como; o poder absoluto define o que pode ser feito.,,Mana,,"Sobrecarga arcana, colapso mágico e efeitos instáveis em falha crítica.",,
Voz Mental,18 m,Flagelado,1 Mana por alvo afetado,1d6 psíquico em sobrecarga,"Projeta pensamentos, ordens ou sensações diretamente na mente de outros.",Cada uso consecutivo impõe 1d6 de dano psíquico ao usuário.,2 turnos,Concede bônus em intimidação social ou impõe distração mental leve.,"No nível 25, pode atingir 2 alvos extras; no 40, impõe silêncio mental por 1 turno.",Contato visual ou foco emocional.,5 ativações por cena.,Poder social perigoso e versátil.,Sem título (https://www.notion.so/35ff7d8f481f43a29e38c09ecd5fced8?pvs=21),Mana,Origem: Flagelado,Interferência mental pode atrair entidades ou efeitos espirituais.,Flagelado,Ferramenta poderosa de pressão social e interrupção tática.
Corpo Venenoso,Toque,Flagelado,2 Mana por ativação,1d8 por toque + 1d6 por turno por 2 turnos,O corpo secreta toxina ativa através da pele e fluidos.,Curas comuns restauram apenas metade da Vida do usuário enquanto o veneno estiver ativo.,2 turnos,Ataques desarmados e agarrões aplicam veneno leve.,"A cada 10 níveis, o dano contínuo aumenta em +1d6.",Contato físico voluntário ou reação sob estresse.,5 ativações por combate.,Veneno corporal agora deriva de Mana contaminada.,Sem título (https://www.notion.so/35ff7d8f481f43a29e38c09ecd5fced8?pvs=21),Mana,Origem: Flagelado,Autointoxicação se usar em estado crítico.,Flagelado,Excelente dissuasão em combate corpo a corpo.
Crescimento Monstruoso,Pessoal,Flagelado,4 Mana para ativar + 2 Mana por turno,+1d10 em ataques físicos,Músculos e ossos se expandem acima do padrão humano.,Perde fineza mental e sofre -2 em testes sociais e mentais enquanto ativo.,3 turnos,"Ganha tamanho aumentado, bônus de Força e intimidação.","No nível 20, recebe +2 m de alcance corpo a corpo; no 40, +2d10 em impacto.","Raiva, dor intensa ou comando consciente.",2 usos por combate.,Excelente para builds de linha de frente.,Sem título (https://www.notion.so/35ff7d8f481f43a29e38c09ecd5fced8?pvs=21),Mana,Origem: Flagelado,Falha crítica pode levar a descontrole contra aliados.,Flagelado,Explosão brutal de força e presença física.
Teletransporte Instável,12 m + 2 m por 5 níveis,Flagelado,3 Mana por salto,2d6 de ruptura em falha grave,O usuário distorce a própria posição de forma abrupta e imperfeita.,"Em falha de controle, surge em local aleatório e sofre dano de ruptura.",Instantânea,Reposiciona-se sem provocar reação.,"A cada 10 níveis, pode levar um alvo aliado pequeno ou médio.",Perigo iminente ou ativação consciente.,4 saltos por combate.,Variação inspirada na Guilda de Jade.,Sem título (https://www.notion.so/35ff7d8f481f43a29e38c09ecd5fced8?pvs=21),Mana,Origem: Flagelado,Exige teste de Instabilidade em uso consecutivo.,Flagelado,Mobilidade extrema e reposicionamento tático.
Regeneração Rápida,Pessoal,Flagelado,2 Mana por turno,—,Tecidos fecham feridas com velocidade antinatural.,Toda cura provoca dor extrema: -1 em ataques e testes físicos durante a regeneração.,3 turnos,"Recupera 1d8 de Vida por turno; em nível 20+, 2d8.","A cada 15 níveis, cura adicional de +1d8.",Ferimento grave ou comando consciente.,3 ativações por descanso curto.,Poder defensivo fortíssimo com custo narrativo e funcional.,Sem título (https://www.notion.so/35ff7d8f481f43a29e38c09ecd5fced8?pvs=21),Mana,Origem: Flagelado,"Se ativado abaixo de 0 Vida, exige teste para não desfigurar permanentemente a área regenerada.",Flagelado,Sobrevivência excepcional em combates longos.
