Nome,Bônus por nível,Classe,Descrição,Escala com,Função,Grupo,Identidade Mecânica,Observações,Progressão,Recurso usado,Técnicas de Ki,Uniões A,Uniões B
Invocação,,"Mago (Criar%20Personagem/Classes/Mago%20f761bd678e484cd0993fda875188004f.html), Híbrido (Criar%20Personagem/Classes/H%C3%ADbrido%20cd1a673735eb4b42b02898eb22d01d5f.html)","Especialização em trazer entidades, armas, focos ou estruturas mágicas temporárias.","Inteligência, estabilidade invocatória e custo de Mana",Controle,Mana,,"Invocações escalam em durabilidade, ações e utilidade ao longo dos marcos.",N1: invoca construto simples ou arma arcana temporária; N5: invocações ganham +1 ação simples por rodada; N10: pode manter 2 invocações leves ou 1 média; N15: transfere AM ou encantamentos para a invocação; N20: invocação resiste melhor e compartilha sentidos com o conjurador; N25: manifesta entidade maior ou arsenal invocado com múltiplas funções.,Mana,,,
Bardo,,"Mago (Criar%20Personagem/Classes/Mago%20f761bd678e484cd0993fda875188004f.html), Híbrido (Criar%20Personagem/Classes/H%C3%ADbrido%20cd1a673735eb4b42b02898eb22d01d5f.html)","Magia sonora e rítmica com foco em buffs, debuffs, comando de ritmo e suporte arcano.","Inteligência, ritmo de conjuração e manutenção de efeitos",Suporte,Mana,,"Apesar do estilo carismático, o eixo de Mana permanece ligado à Inteligência.","N1: aplica música de guerra ou calma com bônus leve; N5: pode sustentar 2 alvos aliados com o mesmo canto; N10: canções causam debuffs em inimigos além do suporte; N15: ecos musicais repetem metade do efeito no turno seguinte; N20: performance em área com múltiplos buff/debuff; N25: sinfonia magistral que altera iniciativa, dano e resistência de todo o campo próximo.",Mana,,Sem título (https://www.notion.so/2512909bd68746df848497f0abe6a5eb?pvs=21),
Encantador,,"Mago (Criar%20Personagem/Classes/Mago%20f761bd678e484cd0993fda875188004f.html), Híbrido (Criar%20Personagem/Classes/H%C3%ADbrido%20cd1a673735eb4b42b02898eb22d01d5f.html)","Especialista em inscrições, objetos encantados, runas e amplificação de efeitos presentes no repertório elemental.",Inteligência e densidade de encantamentos ativos,Suporte,Mana,,"Encantador é a subclasse central para sinergia entre elementos, equipamentos e efeitos persistentes.","N1: aplica 1 encantamento simples em arma, armadura ou foco; N5: encantamentos duram +2 turnos ou recebem +1 carga; N10: amplifica encantamentos ligados a elementos conhecidos, elevando bônus numéricos em 50%; N15: pode manter 2 encantamentos simultâneos no mesmo alvo ou item; N20: ativa encantamento reativo ao sofrer ataque ou lançar magia; N25: cria encantamento magistral com custo reduzido e efeito dobrado em um item-chave.",Mana,,Sem título (https://www.notion.so/e39547572cfa4637997ed3b4dfda4a62?pvs=21),Sem título (https://www.notion.so/9230a7de76664ae9910a5397bc1c4532?pvs=21)
Arcanismo,,"Mago (Criar%20Personagem/Classes/Mago%20f761bd678e484cd0993fda875188004f.html), Híbrido (Criar%20Personagem/Classes/H%C3%ADbrido%20cd1a673735eb4b42b02898eb22d01d5f.html)","Especialização em repertório elemental, rajadas arcanas e conjuração ofensiva de alta pressão.","Inteligência, precisão mágica e controle de Mana",Dano,Mana,,"Requisitos de magia passam a depender de domínio elemental e repertório, não de nível explícito de Arcanismo.","N1: aprende 1 elementos básicos e +1 alcance em magias elementais; N5: +1 precisão mágica e AM 1 sem penalidade leve; N10: libera elementos intermediários e +1 dado em magias básicas; N15: reduz em 10% o custo da primeira magia elemental do turno; N20: amplia área ou alvo secundário em magias elementais; N25: domina composição arcana, soma +2 dados em magias elementais avançadas e supremas.",Mana,,Sem título (https://www.notion.so/b570ee248485482aa7ae54ae86efb405?pvs=21),Sem título (https://www.notion.so/fd336f7e646149b38ff93e7442c2d4fa?pvs=21)
Clérigo,,"Mago (Criar%20Personagem/Classes/Mago%20f761bd678e484cd0993fda875188004f.html), Híbrido (Criar%20Personagem/Classes/H%C3%ADbrido%20cd1a673735eb4b42b02898eb22d01d5f.html)","Magia sagrada, proteção, purificação e sustentação ritual com base em Mana refinada.","Inteligência, pureza ritual e estabilidade espiritual",Suporte,Mana,,"Quando o efeito usa Mana, o cálculo base continua ligado à Inteligência.","N1: cura leve, purificação simples e selo protetivo; N5: bênçãos recebem duração ampliada; N10: cura e dano sagrado recebem dado extra; N15: pode converter parte do dano causado em cura ou escudo; N20: proteção em área contra estados negativos; N25: liturgia maior com purificação massiva, resistência mágica e explosão sagrada.",Mana,,,Sem título (https://www.notion.so/2512909bd68746df848497f0abe6a5eb?pvs=21)
Projeção,,"Mago (Criar%20Personagem/Classes/Mago%20f761bd678e484cd0993fda875188004f.html), Híbrido (Criar%20Personagem/Classes/H%C3%ADbrido%20cd1a673735eb4b42b02898eb22d01d5f.html)","Ilusão, duplicação sensorial e distorção perceptiva com foco em engano e desorientação.","Inteligência, pressão mental e estabilidade ilusória",Controle,Mana,,"Subclasse de controle mental indireto, infiltração e distorção sensorial.",N1: cria imagem ou som ilusório simples; N5: impõe penalidade leve de percepção ao alvo enganado; N10: sustenta múltiplas camadas de ilusão e falsos posicionamentos; N15: converte ilusão em dano psíquico leve ou cegueira momentânea; N20: afeta área ampla ou vários sentidos ao mesmo tempo; N25: cria cenário ilusório avançado com leitura emocional e ocultação tática massiva.,Mana,,,Sem título (https://www.notion.so/b570ee248485482aa7ae54ae86efb405?pvs=21)
Manipulação,,"Mago (Criar%20Personagem/Classes/Mago%20f761bd678e484cd0993fda875188004f.html), Híbrido (Criar%20Personagem/Classes/H%C3%ADbrido%20cd1a673735eb4b42b02898eb22d01d5f.html)","Controle físico externo, telecinese e manipulação precisa de objetos, projéteis ou criaturas.","Inteligência, precisão de controle e massa manipulada",Controle,Mana,,Subclasse ideal para aumentar precisão de magias e controle do campo.,"N1: move objetos leves e recebe +1 precisão em magias de controle; N5: pode desarmar, empurrar ou puxar com maior estabilidade; N10: manipula múltiplos alvos leves ou um alvo médio sem perder precisão; N15: converte manipulação em esmagamento, suspensão ou redirecionamento de ataques; N20: manipula terreno e projéteis em área; N25: controle fino total, permitindo travar, lançar e reposicionar múltiplos alvos no mesmo turno.",Mana,,,Sem título (https://www.notion.so/6bb2f29332f242509f35e8e0bf08812b?pvs=21)
Transmutação,,"Mago (Criar%20Personagem/Classes/Mago%20f761bd678e484cd0993fda875188004f.html), Híbrido (Criar%20Personagem/Classes/H%C3%ADbrido%20cd1a673735eb4b42b02898eb22d01d5f.html)","Alteração de matéria, corpo e propriedades físicas por conversão elemental controlada.",Inteligência e complexidade do material ou elemento alterado,Controle,Mana,,Pode alterar o próprio corpo ou objetos externos em elementos já presentes no repertório dominado.,"N1: altera textura, dureza ou forma de matéria simples; N5: converte pequenas partes do corpo em elemento já dominado para ganhar resistência temática; N10: transmuta armas ou terreno em elemento do catálogo; N15: converte dano recebido em resistência parcial se o elemento for conhecido; N20: reconfigura membros, armaduras e barreiras em composições elementais complexas; N25: executa transmutação maior em área ou em todo o próprio corpo por curto período.",Mana,,Sem título (https://www.notion.so/9230a7de76664ae9910a5397bc1c4532?pvs=21),Sem título (https://www.notion.so/e39547572cfa4637997ed3b4dfda4a62?pvs=21)
Monge,N1 foco e defesa reativa; N5 regenera fluxo em resposta; N10 ignora parte da armadura; N15 reduz custo sustentado; N20 resiste a condições; N25 corpo perfeito com transformação avançada.,"Ki (Criar%20Personagem/Classes/Ki%20ec27f579c6cb4ff8b30faa1a340adab0.html), Híbrido (Criar%20Personagem/Classes/H%C3%ADbrido%20cd1a673735eb4b42b02898eb22d01d5f.html)","Controle corporal absoluto com defesa, mobilidade, regeneração e golpes internos de Ki.","Sabedoria, fluxo de Ki e disciplina corporal",Defesa,Ki,"Usa técnicas de Ki para transformação, disciplina corporal, defesa ativa, evasão e estados elevados.",Recebe novas transformações e se torna a principal linha de evolução corporal do Ki.,"N1: ganha postura de foco e defesa reativa; N5: regenera Ki ao esquivar ou aparar; N10: golpes internos ignoram parte da armadura; N15: reduz custo de técnicas sustentadas; N20: pode agir mesmo sob parte de condições físicas; N25: corpo perfeito, grande resistência e contra-ataque automático uma vez por rodada.",Ki,"Passo Relâmpago (Magias/T%C3%A9cnicas%20de%20Ki/Passo%20Rel%C3%A2mpago%206e18371e35c5458ab6235d1f1b932a89.html), Defesa Interior (Magias/T%C3%A9cnicas%20de%20Ki/Defesa%20Interior%2050c942cc68df465f88095afb328bfe31.html), Palma Vibrante (Magias/T%C3%A9cnicas%20de%20Ki/Palma%20Vibrante%2026d12501f3424a6f8cd78e69b59b574e.html), Impacto Interno (Magias/T%C3%A9cnicas%20de%20Ki/Impacto%20Interno%20193b69d3f62746f9b6a658791dd0477a.html), Golpe Imbuído (Magias/T%C3%A9cnicas%20de%20Ki/Golpe%20Imbu%C3%ADdo%20c9fd9df452df4d5682e46d1c85e5d0d6.html), Salto Celestial (Magias/T%C3%A9cnicas%20de%20Ki/Salto%20Celestial%20fdc46cea76994df9975a4092205e9992.html), Corpo de Aço (Magias/T%C3%A9cnicas%20de%20Ki/Corpo%20de%20A%C3%A7o%20f761ea5c59554afeb4801b32cece0722.html), Palma Silenciosa (Magias/T%C3%A9cnicas%20de%20Ki/Palma%20Silenciosa%20f45984dbc21149fe915535560ab49c39.html), Desvio Circular (Magias/T%C3%A9cnicas%20de%20Ki/Desvio%20Circular%208f60c292c27941c89b0b5fd8b1acdf2f.html), Forma Defensiva (Magias/T%C3%A9cnicas%20de%20Ki/Forma%20Defensiva%20e5b8c1732ca84c3cb7964291f7236e9b.html), Forma Suprema (Magias/T%C3%A9cnicas%20de%20Ki/Forma%20Suprema%20c1110ad53f234213ab77b4fdd7405db1.html), Detecção Intermediária (Magias/T%C3%A9cnicas%20de%20Ki/Detec%C3%A7%C3%A3o%20Intermedi%C3%A1ria%2072f4f5189b724cc0b05477057801d455.html), Detecção Básica (Magias/T%C3%A9cnicas%20de%20Ki/Detec%C3%A7%C3%A3o%20B%C3%A1sica%2022450d5fe70445f79491eac165559074.html), Forma do Dragão Sereno (Magias/T%C3%A9cnicas%20de%20Ki/Forma%20do%20Drag%C3%A3o%20Sereno%207df7ba45760e4261bcc2c30aa3544320.html), Forma do Vazio Andante (Magias/T%C3%A9cnicas%20de%20Ki/Forma%20do%20Vazio%20Andante%20003e97f50fef48268b734b5e9abea47a.html), Forma do Colosso Fluido (Magias/T%C3%A9cnicas%20de%20Ki/Forma%20do%20Colosso%20Fluido%20f17c2c95042846178ab0381416744557.html)",Sem título (https://www.notion.so/4de0e700121e4e29adb166fc24c88477?pvs=21),
Lutador Marcial,N1 ganha pressão corporal; N5 reduz custo de combo; N10 soma quebra de guarda; N15 amplia contra-ataque; N20 acelera sequência; N25 executa cadeia marcial suprema.,"Ki (Criar%20Personagem/Classes/Ki%20ec27f579c6cb4ff8b30faa1a340adab0.html), Híbrido (Criar%20Personagem/Classes/H%C3%ADbrido%20cd1a673735eb4b42b02898eb22d01d5f.html)","Combate técnico direto com combos, contra-ataques e quebra de defesa por pressão marcial.","Sabedoria, Destreza ou Força, mais consumo de Ki",Dano,Ki,"Infunde Ki nos músculos para fortalecer golpes, combos, impacto e pressão física contínua.","A cada nível pode adquirir um poder de Ki, com exceção das transformações.",N1: desbloqueia combo de 2 golpes; N5: recebe +1 ataque em sequência com custo reduzido; N10: combos aplicam quebra de guarda ou empurrão; N15: contra-ataques causam dano ampliado; N20: pode converter deslocamento em golpe bônus; N25: sequência perfeita com múltiplos impactos e controle de ritmo.,Ki,"Impacto Interno (Magias/T%C3%A9cnicas%20de%20Ki/Impacto%20Interno%20193b69d3f62746f9b6a658791dd0477a.html), Golpe Imbuído (Magias/T%C3%A9cnicas%20de%20Ki/Golpe%20Imbu%C3%ADdo%20c9fd9df452df4d5682e46d1c85e5d0d6.html), Sequência Devastadora (Magias/T%C3%A9cnicas%20de%20Ki/Sequ%C3%AAncia%20Devastadora%20eac8f7d3345f426399ea1f7d00a3cff8.html), Impacto Explosivo (Magias/T%C3%A9cnicas%20de%20Ki/Impacto%20Explosivo%20c687b8422bc64335999cc9ecc104f2bb.html), Forma Agressiva (Magias/T%C3%A9cnicas%20de%20Ki/Forma%20Agressiva%20da132de80c654f2b972c65d6c9400cf2.html), Forma Suprema (Magias/T%C3%A9cnicas%20de%20Ki/Forma%20Suprema%20c1110ad53f234213ab77b4fdd7405db1.html), Musculatura Explosiva (Magias/T%C3%A9cnicas%20de%20Ki/Musculatura%20Explosiva%20c4d79919e2d0432d8a6d686b5b8262bf.html)",,
